day,blockchain,token_symbol,mint_volume,burn_volume,total_volume
2026-06-25 00:00:00.000 UTC,arbitrum,USDC,0,0,<nil>
2026-06-25 00:00:00.000 UTC,ethereum,USDC,0,0,<nil>
2026-06-25 00:00:00.000 UTC,ethereum,USDT,0,0,<nil>
2026-06-25 00:00:00.000 UTC,polygon,USDC,0,0,<nil>
2026-06-24 00:00:00.000 UTC,arbitrum,USDC,2.6816553701433024e+08,2.6445574876594752e+08,2.359159153945614e+09
2026-06-24 00:00:00.000 UTC,ethereum,USDC,6.797581633574344e+08,7.078742535499799e+08,4.967824526923471e+10
2026-06-24 00:00:00.000 UTC,ethereum,USDT,0,0,2.4025008809228897e+10
2026-06-24 00:00:00.000 UTC,polygon,USDC,1.40990188350872e+08,1.52620828209765e+08,3.0500771823183126e+09
2026-06-23 00:00:00.000 UTC,arbitrum,USDC,1.7927423588583764e+08,3.864502520199411e+08,2.8694056578490944e+09
2026-06-23 00:00:00.000 UTC,ethereum,USDC,7.308795371208014e+08,8.173494906680467e+08,5.037566771188919e+10
2026-06-23 00:00:00.000 UTC,ethereum,USDT,0,0,1.6532427973058598e+10
2026-06-23 00:00:00.000 UTC,polygon,USDC,1.2273708358209702e+08,1.2550303828951299e+08,3.2255508950435224e+09
2026-06-22 00:00:00.000 UTC,arbitrum,USDC,1.5603439694013155e+08,1.5163224610686082e+08,1.4393730644314675e+09
2026-06-22 00:00:00.000 UTC,ethereum,USDC,7.947375552886704e+08,1.122712989067019e+09,5.721257533209628e+10
2026-06-22 00:00:00.000 UTC,ethereum,USDT,0,0.000119,1.6312766605408604e+10
2026-06-22 00:00:00.000 UTC,polygon,USDC,1.2937012738110998e+08,1.27038336128287e+08,3.127724657002056e+09
2026-06-21 00:00:00.000 UTC,arbitrum,USDC,5.193292398410779e+07,5.995916219780886e+07,6.928534156017992e+08
2026-06-21 00:00:00.000 UTC,ethereum,USDC,8.953827954709809e+07,1.2336911554497008e+08,3.554507904564994e+10
2026-06-21 00:00:00.000 UTC,ethereum,USDT,0,0,1.0469232858760567e+10
2026-06-21 00:00:00.000 UTC,polygon,USDC,7.078348949049601e+07,6.5522694203553006e+07,2.1186218613654206e+09
2026-06-20 00:00:00.000 UTC,arbitrum,USDC,5.365957308814494e+07,7.427367377043085e+07,7.664003093426608e+08
2026-06-20 00:00:00.000 UTC,ethereum,USDC,1.1137201438008621e+08,1.6962289439320433e+08,3.8318681612154305e+10
2026-06-20 00:00:00.000 UTC,ethereum,USDT,0,4.994327,1.3714118796002867e+10
2026-06-20 00:00:00.000 UTC,polygon,USDC,8.714085228332497e+07,8.9363613202825e+07,2.8326163538923893e+09
2026-06-19 00:00:00.000 UTC,arbitrum,USDC,1.173522590733749e+08,1.2187958907684475e+08,1.0631678064720144e+09
2026-06-19 00:00:00.000 UTC,ethereum,USDC,5.862252293768784e+08,5.589090558170639e+08,4.431244197304284e+10
2026-06-19 00:00:00.000 UTC,ethereum,USDT,0,0,1.4764910957448116e+10
2026-06-19 00:00:00.000 UTC,polygon,USDC,7.663596474814299e+07,1.0232983246019602e+08,2.5049974717004123e+09
2026-06-18 00:00:00.000 UTC,arbitrum,USDC,1.844273667379293e+07,1.9197405365592e+07,1.784716669281821e+08
2026-06-18 00:00:00.000 UTC,ethereum,USDC,3.872738081651798e+07,1.3005080566172701e+08,6.5800081619071e+09
2026-06-18 00:00:00.000 UTC,ethereum,USDT,0,0,2.0815653697174878e+09
2026-06-18 00:00:00.000 UTC,polygon,USDC,4.4570402922572e+07,2.710257468865601e+07,7.83875584941661e+08
